tester_code,task_id,task_description,completed_yes_no,time_seconds,help_needed_yes_no,error_or_confusion,rating_1_5,improvement_note
T01,T1,"Open the homepage and explain what PeerTutor is designed to do.",Yes,32,No,,5,"No change needed"
T01,T2,"Select the user role and log in to access the Student Dashboard.",Yes,41,No,,5,"Role selection was clear"
T01,T3,"Search or filter tutors by subject, major, rating, or hourly rate.",Yes,52,No,,5,"Search and filters were easy"
T01,T4,"Open a tutor profile and explain the available information before requesting tutoring.",Yes,48,No,,5,"Tutor details were clear"
T01,T5,"Submit a tutoring request using the request form.",Yes,87,No,,5,"Form was straightforward"
T01,T6,"Open the Student Dashboard and check the tutoring request status.",Yes,39,No,,5,"Status was easy to identify"
T01,T7,"Complete the simulated online payment process.",Yes,64,No,,4,"Add a clearer payment progress indicator"
T01,T8,"View the Payment History page.",Yes,31,No,,5,"Payment records were clear"

T02,T1,"Open the homepage and explain what PeerTutor is designed to do.",Yes,36,No,,5,"Clear purpose"
T02,T2,"Select the user role and log in to access the Student Dashboard.",Yes,45,No,,4,"Make the Student button more visible"
T02,T3,"Search or filter tutors by subject, major, rating, or hourly rate.",Yes,61,No,,4,"Add a reset filter button"
T02,T4,"Open a tutor profile and explain the available information before requesting tutoring.",Yes,53,No,,5,"Information was sufficient"
T02,T5,"Submit a tutoring request using the request form.",Yes,95,No,"Unsure whether the note field was optional",4,"Label optional fields clearly"
T02,T6,"Open the Student Dashboard and check the tutoring request status.",Yes,43,No,,4,"Use stronger status colors"
T02,T7,"Complete the simulated online payment process.",Yes,71,No,,4,"Clarify that payment is simulated"
T02,T8,"View the Payment History page.",Yes,37,No,,5,"Easy to understand"

T03,T1,"Open the homepage and explain what PeerTutor is designed to do.",Yes,40,No,,4,"Shorten homepage description"
T03,T2,"Select the user role and log in to access the Student Dashboard.",Yes,49,No,,4,"Keep role labels simple"
T03,T3,"Search or filter tutors by subject, major, rating, or hourly rate.",Yes,58,No,,5,"Search was useful"
T03,T4,"Open a tutor profile and explain the available information before requesting tutoring.",Yes,56,No,,4,"Make availability more visible"
T03,T5,"Submit a tutoring request using the request form.",Yes,102,Yes,"Did not notice the preferred date/time field",3,"Group date and time fields together"
T03,T6,"Open the Student Dashboard and check the tutoring request status.",Yes,47,No,,4,"Add a small status explanation"
T03,T7,"Complete the simulated online payment process.",Yes,75,No,,4,"Show a payment summary"
T03,T8,"View the Payment History page.",Yes,42,No,,4,"Add payment status filter"

T04,T1,"Open the homepage and explain what PeerTutor is designed to do.",Yes,34,No,,5,"Homepage was clear"
T04,T2,"Select the user role and log in to access the Student Dashboard.",Yes,43,No,,5,"Navigation was easy"
T04,T3,"Search or filter tutors by subject, major, rating, or hourly rate.",Yes,67,No,,4,"Price labels could be clearer"
T04,T4,"Open a tutor profile and explain the available information before requesting tutoring.",Yes,51,No,,4,"Add more tutor review details"
T04,T5,"Submit a tutoring request using the request form.",Yes,91,No,,5,"Request form was easy"
T04,T6,"Open the Student Dashboard and check the tutoring request status.",Yes,45,No,,4,"Show next action beside status"
T04,T7,"Complete the simulated online payment process.",No,104,Yes,"Could not immediately find the Confirm Payment button",3,"Make payment button larger"
T04,T8,"View the Payment History page.",Yes,39,No,,4,"History was understandable"

T05,T1,"Open the homepage and explain what PeerTutor is designed to do.",Yes,38,No,,5,"Purpose was clear"
T05,T2,"Select the user role and log in to access the Student Dashboard.",Yes,46,No,,5,"Easy first-time navigation"
T05,T3,"Search or filter tutors by subject, major, rating, or hourly rate.",Yes,55,No,,5,"Filters were helpful"
T05,T4,"Open a tutor profile and explain the available information before requesting tutoring.",Yes,50,No,,5,"Tutor profile was clear"
T05,T5,"Submit a tutoring request using the request form.",Yes,89,No,,4,"Show review before submission"
T05,T6,"Open the Student Dashboard and check the tutoring request status.",Yes,41,No,,5,"Status was clear"
T05,T7,"Complete the simulated online payment process.",Yes,68,No,,4,"Add payment help message"
T05,T8,"View the Payment History page.",Yes,35,No,,5,"No change needed"

T06,T9,"Register as a tutor and submit a tutor application.",Yes,128,No,,4,"Application process was clear"
