Column,Table,Meaning,Data Type,Example,Why Students Need It
RequestID,PrototypeRecords,Unique tutoring request ID,Text,RQ001,Connects tutoring request data to the activity log.
StudentID,PrototypeRecords,Unique student identifier,Text,ST001,Identifies the student who submitted the tutoring request.
TutorID,PrototypeRecords,Unique tutor identifier,Text,TT001,Identifies the tutor assigned to the tutoring request.
Subject,PrototypeRecords,Requested tutoring subject,Text,Web Development,Used to identify the most requested subjects.
RequestDate,PrototypeRecords,Date the tutoring request was submitted,Date,2026-07-15,Used to analyze tutoring request trends.
SessionDate,PrototypeRecords,Scheduled tutoring session date,Date,2026-07-18,Used for scheduling and operational planning.
Status,PrototypeRecords,Current tutoring request status,Text,Approved,Used for status metrics and progress tracking.
PaymentStatus,PrototypeRecords,Current payment progress,Text,Verified,Used for payment management metrics.
AmountTHB,PrototypeRecords,Tutoring session payment amount in Thai Baht,Whole Number,500,Used to calculate payment and earnings summaries.
RequirementID,PrototypeRecords,Functional requirement supported by the record,Text,FR-03,Provides requirement traceability.
OwnerRole,PrototypeRecords,Role responsible for the current record,Text,Admin,Supports management and operational reporting.
EventID,ActivityLog,Unique activity event ID,Text,E001,Used to count and track user activities.
RecordID,ActivityLog,Related tutoring request ID,Text,RQ001,Links each activity to its corresponding tutoring request.
EventDateTime,ActivityLog,Date and time when an activity occurred,Date/Time,2026-07-15 09:15,Used for activity timeline analysis.
UserRole,ActivityLog,Role of the user performing the activity,Text,Student,Used for filtering activities by user role.
ActionType,ActivityLog,Action performed in the system,Text,SubmitTutoringRequest,Used to analyze user behaviour and workflow.
DeviceType,ActivityLog,Device used to access the prototype,Text,Mobile,Used to compare device usage.
ProcessingTimeMinutes,ActivityLog,Time required to complete the activity,Whole Number,5,Used to measure operational efficiency.
RequirementID,ActivityLog,Functional requirement related to the activity,Text,FR-03,Maintains traceability between user activities and system requirements.
