Issue_ID,Issue_Description,Severity,Related_Requirement,Evidence_Source,Proposed_Fix,Owner,Status
UI-01,Confirm Payment button is difficult to locate,Important,"FR-07; FR-10; FR-14; FR-16","Synthetic sample TU-04; Task T12","Increase button size and contrast; move it to a more visible position; add a payment-progress indicator",Thae Su Win Thu,Pending
UI-02,Some dashboard text is too small on mobile-sized screens,Useful,FR-17,"Synthetic sample TU-03; Task T03","Increase mobile font size and spacing; enlarge important buttons; retest using a phone-sized viewport",Thae Su Win Thu,Pending
UX-03,Price-range labels in tutor filters are unclear,Useful,FR-06,"Synthetic sample TU-02; Task T06","Add clear minimum and maximum price labels; display the selected range; add a Reset Filters button",Thae Su Win Thu,Pending
FORM-04,Supporting-document upload requirements are unclear,Important,"FR-03; FR-13; FR-18","Synthetic sample TU-08; Task T16","Display accepted file types and maximum size; add an upload example and responsible-data reminder",Thae Su Win Thu,Pending
UX-05,Save and Publish actions on tutor profiles are difficult to distinguish,Important,"FR-08; FR-13; FR-14; FR-16","Synthetic sample TU-07; Task T19","Use visually different Save and Publish buttons; add profile preview and clear confirmation messages",Thae Su Win Thu,Pending
PAY-06,Payment verification commission and tutor payout are not clearly separated,Important,"FR-11; FR-12; FR-15","Synthetic sample TU-10; Task T27","Create separate sections for payment verification platform commission and tutor payout; display clear payment statuses","Thin Thiri Naing and Thae Su Win Thu",Pending
STATUS-07,Request and payment status labels need clearer visual guidance,Useful,"FR-10; FR-16","Lab 08 comparison and synthetic sample results","Use consistent status colours; add a status legend; display the next available action",Thae Su Win Thu,Pending
DATA-08,Payment and transaction records need clearer privacy guidance,Important,FR-18,"Responsible-data review","Store only necessary sample transaction information; mask sensitive values; add a privacy reminder",Yan Naing Kyaw,Pending
DOC-09,Testing documents screenshots and requirement references must be updated after fixes,Important,FR-19,"Lab 13 documentation review","Update testing results screenshots traceability references README and final demo documentation",Yan Naing Kyaw,Pending
TEST-10,Corrected workflows require final retesting before Lab 14,Important,"FR-07; FR-08; FR-11; FR-12; FR-13; FR-17","Final validation requirement","Retest payment tutor application profile publishing admin payment management and mobile responsiveness",Shinn Thant Maung,Pending
FUTURE-11,Additional analytics filters and earnings visualizations could improve the dashboards,Future,"FR-12; FR-15","Synthetic sample user suggestions","Add date filters earnings graphs detailed summary cards and additional analytics controls",TechTitans Team,Pending
